# Omega_m sigma_8 chi2 weight
3.777509458536100762e-01 8.204119631465000007e-01 7.172246178882997647e+00 3.000000000000000000e+00
3.787510810378703630e-01 8.149096947087779430e-01 2.921053637540338421e+00 1.000000000000000000e+00
3.795995643003857722e-01 8.154555320827727716e-01 3.827752518527084202e+00 1.000000000000000000e+00
3.724288205711799304e-01 8.206045503244374650e-01 2.707413376832710217e+00 1.000000000000000000e+00
3.677412416124294925e-01 8.248564425783895260e-01 3.386327457528683471e+00 2.000000000000000000e+00
3.663948530285497385e-01 8.321926105970625098e-01 3.922477241830326200e+00 4.000000000000000000e+00
3.553407984678723097e-01 8.406073447175759217e-01 3.043706718970257352e+00 2.000000000000000000e+00
3.531483606972153355e-01 8.447126836135729899e-01 2.321463094351993384e+00 6.000000000000000000e+00
3.571410437215139511e-01 8.409300016021126201e-01 2.216082513521020925e+00 1.000000000000000000e+00
3.615134207613287520e-01 8.374533597450698474e-01 3.121562951004101194e+00 1.000000000000000000e+00
3.693869685234416611e-01 8.251441933226638659e-01 2.490172274790536822e+00 1.000000000000000000e+00
3.626284713581927610e-01 8.322908406111538815e-01 2.644630049878940348e+00 1.000000000000000000e+00
3.645232347361634928e-01 8.256183010748135986e-01 7.315838588821853783e+00 1.000000000000000000e+00
3.682529068593043964e-01 8.298116159038222417e-01 3.909106066182783223e+00 1.000000000000000000e+00
3.725112389460565332e-01 8.258897838677532466e-01 5.565290769487471145e+00 1.000000000000000000e+00
3.581482330131975922e-01 8.369288430909781473e-01 3.165414441059156925e+00 2.000000000000000000e+00
3.557530725078528744e-01 8.416313823288731344e-01 2.295635697033498346e+00 1.000000000000000000e+00
3.562713221209025671e-01 8.415053391278665140e-01 2.209159384129453674e+00 7.000000000000000000e+00
3.426198078897727539e-01 8.625078999633977173e-01 3.335391154045592277e+00 8.000000000000000000e+00
3.351989280387206449e-01 8.670268790977299078e-01 2.782847747254637572e+00 4.000000000000000000e+00
3.349243728211747650e-01 8.674826902821684005e-01 2.740888521259135846e+00 1.000000000000000000e+00
3.339116474329552609e-01 8.680235461716790946e-01 3.439511309902886893e+00 7.000000000000000000e+00
3.375822556485148507e-01 8.644425664370829487e-01 2.397183914443909547e+00 4.000000000000000000e+00
3.266712968627537572e-01 8.780701523203188197e-01 3.402913689220220750e+00 3.000000000000000000e+00
3.338973857843810511e-01 8.714406669195540189e-01 1.823696000033324882e+00 5.000000000000000000e+00
3.444026503862042676e-01 8.578087068016894134e-01 2.129104169021909243e+00 1.000000000000000000e+00
3.411396581433195352e-01 8.629376321638835279e-01 2.277986899806286214e+00 9.000000000000000000e+00
3.436143917260900404e-01 8.610752201894703584e-01 3.283202981989592928e+00 1.000000000000000000e+00
3.435454441541157533e-01 8.611632844520814567e-01 3.330996281737764964e+00 1.000000000000000000e+00
3.371446838373319821e-01 8.647610625961851261e-01 2.560672499106035005e+00 1.000000000000000000e+00
3.518405820135371842e-01 8.515218571436466988e-01 4.338463181077357511e+00 2.000000000000000000e+00
3.537630032604124342e-01 8.466446165955378023e-01 2.481250324867789292e+00 4.000000000000000000e+00
3.491290808820349811e-01 8.465280515569535424e-01 4.731192081389725246e+00 3.000000000000000000e+00
3.488972162171138924e-01 8.561725768339577547e-01 6.052010627977558066e+00 2.000000000000000000e+00
3.588719346848647240e-01 8.444500154523445490e-01 7.561014479205323546e+00 1.000000000000000000e+00
3.483336408750638546e-01 8.526998108496579576e-01 2.256664198911257913e+00 3.000000000000000000e+00
3.514701832051388419e-01 8.450487120188847623e-01 3.221155594479528261e+00 6.000000000000000000e+00
3.632163559793082364e-01 8.297811142810633811e-01 3.889532513251190871e+00 5.000000000000000000e+00
3.637736604626073400e-01 8.291429708859709979e-01 3.844789588576051464e+00 4.000000000000000000e+00
3.732093971228904739e-01 8.223538426566967541e-01 3.041371065591894851e+00 2.000000000000000000e+00
3.707155315611343482e-01 8.266269894742936941e-01 3.915613395105137950e+00 3.000000000000000000e+00
3.662913063181886808e-01 8.338512136142800513e-01 5.748748936581279168e+00 1.000000000000000000e+00
3.706022818987346201e-01 8.225980284677494314e-01 2.743915609857433768e+00 8.000000000000000000e+00
3.749038831296512830e-01 8.229321190609005798e-01 5.584294470621490092e+00 3.000000000000000000e+00
3.674427034024926875e-01 8.295725092804842049e-01 2.951177485663515121e+00 1.000000000000000000e+00
3.520621007680734826e-01 8.446598248371284257e-01 3.127308718449372194e+00 6.000000000000000000e+00
3.464011199555777631e-01 8.533817115277666510e-01 2.246864750491109231e+00 2.000000000000000000e+00
3.464787584094214390e-01 8.546722655294122228e-01 2.121291522541652430e+00 2.000000000000000000e+00
3.485266639137998279e-01 8.530420991340622594e-01 2.502542970912372322e+00 1.000000000000000000e+00
3.475527224997737585e-01 8.508087530971542023e-01 2.726353475704588192e+00 1.000000000000000000e+00
3.553195511614219981e-01 8.451094712276535637e-01 2.777768267221046639e+00 1.000000000000000000e+00
3.486817293854329591e-01 8.471297756507321086e-01 4.741589091196991568e+00 2.000000000000000000e+00
3.517369230297872074e-01 8.501567673954454341e-01 2.935291565982019346e+00 1.000000000000000000e+00
3.518951440510629802e-01 8.477590314222870349e-01 2.092418973640774116e+00 3.000000000000000000e+00
3.533465614907435048e-01 8.436133836012221776e-01 2.722049333264689341e+00 1.000000000000000000e+00
3.523597019889972981e-01 8.514301515380429120e-01 5.086209562170700416e+00 3.000000000000000000e+00
3.421800869166050640e-01 8.581526529216891852e-01 2.524342068655204052e+00 1.000000000000000000e+00
3.457412398209687154e-01 8.563521632614061740e-01 2.250028764406094783e+00 3.000000000000000000e+00
3.445716671661699926e-01 8.547338136551098087e-01 2.694980305458984926e+00 2.000000000000000000e+00
3.432209954544329089e-01 8.594140376550737370e-01 2.129450278531386243e+00 5.000000000000000000e+00
3.562562656757133905e-01 8.409336533192488528e-01 2.316912158007201850e+00 6.000000000000000000e+00
3.622242298037762209e-01 8.284894571224606930e-01 7.234636936377443206e+00 1.000000000000000000e+00
3.659042397551626191e-01 8.277585340980496698e-01 2.937296537116770523e+00 5.000000000000000000e+00
3.635127230431536294e-01 8.352354885846369204e-01 3.405820657677622876e+00 2.000000000000000000e+00
3.525667549433387227e-01 8.494296657609222700e-01 3.231443464332528492e+00 8.000000000000000000e+00
3.493621382793224428e-01 8.536525497836604526e-01 3.659973012292366601e+00 2.000000000000000000e+00
3.435338311049327964e-01 8.633652522018122610e-01 5.837801051298156629e+00 2.000000000000000000e+00
3.381675599731628346e-01 8.663582954114492640e-01 2.000180166675004756e+00 1.000000000000000000e+00
3.370020655074402183e-01 8.687801122472011972e-01 2.292776473776341195e+00 3.000000000000000000e+00
3.340623455880216697e-01 8.698894216994477180e-01 2.061330153991280945e+00 1.000000000000000000e+00
3.297180822207934070e-01 8.726171974731447012e-01 4.751758790662154119e+00 1.000000000000000000e+00
3.322710693815840721e-01 8.728371953940212702e-01 1.891326218665332792e+00 1.000000000000000000e+00
3.309645486159438210e-01 8.740219848944178471e-01 2.072995591990660635e+00 4.000000000000000000e+00
3.356333303557650360e-01 8.734113027406283924e-01 4.567976067070738999e+00 1.000000000000000000e+00
3.324180413130273792e-01 8.768843236599527247e-01 3.428093039116295593e+00 3.000000000000000000e+00
3.307074725231711754e-01 8.752674926296241109e-01 1.806827479002982129e+00 4.000000000000000000e+00
3.280899657253477097e-01 8.790502491274673202e-01 1.739093865398559702e+00 3.000000000000000000e+00
3.316507010675389666e-01 8.755780980120033696e-01 1.921033544898601564e+00 3.000000000000000000e+00
3.242247338641257026e-01 8.852307510425658776e-01 1.620350016403418136e+00 1.300000000000000000e+01
3.215277610585519086e-01 8.890137997120490798e-01 1.566415445632806325e+00 2.000000000000000000e+00
3.260611923652269040e-01 8.809952042666728822e-01 1.965708904038461213e+00 8.000000000000000000e+00
3.337160822002394611e-01 8.752205056043186326e-01 3.611319840470797349e+00 3.000000000000000000e+00
3.323256817795934848e-01 8.779343364325855603e-01 4.431207742651891657e+00 2.000000000000000000e+00
3.222916604817242514e-01 8.826565594240081136e-01 5.372038698382318067e+00 1.000000000000000000e+00
3.194147970916687007e-01 8.900179125772583744e-01 2.176061256398040378e+00 3.000000000000000000e+00
3.274658956542705890e-01 8.839807299384515593e-01 3.393358147018079141e+00 3.000000000000000000e+00
3.246460217686307770e-01 8.863596403782167954e-01 2.091761196305035320e+00 1.000000000000000000e+00
3.245515388950379609e-01 8.863676722829186838e-01 2.027177673093123467e+00 4.000000000000000000e+00
3.266122033518967238e-01 8.822721066193558448e-01 1.713744839345392901e+00 7.000000000000000000e+00
3.131045883347172154e-01 9.033384459180465731e-01 1.758896450789676491e+00 1.000000000000000000e+00
3.126528419953648608e-01 9.072425333865178354e-01 4.609221302181890856e+00 5.000000000000000000e+00
2.980226152268443673e-01 9.272173039178492893e-01 1.859827279085572771e+00 1.000000000000000000e+00
3.001931965016563786e-01 9.264959486435111469e-01 4.458634380425521293e+00 2.000000000000000000e+00
2.956023990510341926e-01 9.295967281054596798e-01 1.262474085256020340e+00 7.000000000000000000e+00
2.949456616937265463e-01 9.292389794111015622e-01 1.247185204028973038e+00 5.000000000000000000e+00
2.913206748445745231e-01 9.346400939070204084e-01 1.256483009564675291e+00 6.000000000000000000e+00
2.948099444687225512e-01 9.331651253328802076e-01 2.373350919014861837e+00 2.000000000000000000e+00
3.020896671180142712e-01 9.215106506666150832e-01 2.400764372707967720e+00 1.000000000000000000e+00
2.945253917401483568e-01 9.250855863699997128e-01 4.565596686385874570e+00 2.000000000000000000e+00
2.948110509739597096e-01 9.299108432756395537e-01 1.193562038969765871e+00 2.000000000000000000e+00
2.938647508395084151e-01 9.292757262744140156e-01 1.698294104631618895e+00 1.400000000000000000e+01
2.953309024051625209e-01 9.315649293773549111e-01 1.820571611708566628e+00 4.000000000000000000e+00
2.914107879945247448e-01 9.313899023123336507e-01 3.096257837358361353e+00 2.000000000000000000e+00
2.959956506965650269e-01 9.304000202361819571e-01 1.804956725916312843e+00 2.000000000000000000e+00
2.934829325810243694e-01 9.359364570395234395e-01 3.298880334308694096e+00 3.000000000000000000e+00
2.933694789271741321e-01 9.360261383796512069e-01 3.251480923244188581e+00 2.000000000000000000e+00
2.816231025601760307e-01 9.491049060079440602e-01 1.902629063088305594e+00 2.000000000000000000e+00
2.802725819168433996e-01 9.546546735300694975e-01 1.213444860914017598e+00 2.000000000000000000e+00
2.791684217457640615e-01 9.561648481929506671e-01 1.156078216197569564e+00 3.000000000000000000e+00
2.802188018408788284e-01 9.540202542646544215e-01 1.134406241045888386e+00 6.000000000000000000e+00
2.812431820603219501e-01 9.487619854415791920e-01 2.597599401238819272e+00 7.000000000000000000e+00
2.816399646585430738e-01 9.500161811008132062e-01 1.430518580615449009e+00 7.000000000000000000e+00
2.809452173086324223e-01 9.518800100938268338e-01 1.218667202764278201e+00 3.000000000000000000e+00
2.741773664089293683e-01 9.580877652498279717e-01 5.998457035945633287e+00 4.000000000000000000e+00
2.712391106340583669e-01 9.684488037722365217e-01 1.387141989476122106e+00 3.000000000000000000e+00
2.741992060798407183e-01 9.605713719869203304e-01 2.909886222619546103e+00 4.000000000000000000e+00
2.798512601667577648e-01 9.596286528999743437e-01 4.329761498023841249e+00 3.000000000000000000e+00
2.718788732482965709e-01 9.723385691452612889e-01 2.937721040051625376e+00 1.000000000000000000e+00
2.717467031989761472e-01 9.680825134836810175e-01 1.247402218051261391e+00 8.000000000000000000e+00
2.709993586433473434e-01 9.692848594676372054e-01 1.278426104149048115e+00 6.000000000000000000e+00
2.751359731935090203e-01 9.642415529553026721e-01 1.427439664489673410e+00 2.400000000000000000e+01
2.749115702563066366e-01 9.653228086170465572e-01 1.741383237023726993e+00 3.000000000000000000e+00
2.681620765812682827e-01 9.691700027350498292e-01 5.562323786530253500e+00 2.000000000000000000e+00
2.724246317802551665e-01 9.603606707923433294e-01 7.301203172786353335e+00 5.000000000000000000e+00
2.772787367903576938e-01 9.582759202887309868e-01 1.203789285671919229e+00 3.000000000000000000e+00
2.779374220034767085e-01 9.625819647529589851e-01 3.900440996933962623e+00 1.000000000000000000e+00
2.777084864077616344e-01 9.627849732099902358e-01 3.682349484615001778e+00 1.000000000000000000e+00
2.753308005624038879e-01 9.671789524260976378e-01 3.977998935246189749e+00 2.000000000000000000e+00
2.719174206167294661e-01 9.712984709701748542e-01 2.150947823679699944e+00 3.000000000000000000e+00
2.743383561648026214e-01 9.668500540461507642e-01 2.063824976884518492e+00 1.200000000000000000e+01
2.761114624825636299e-01 9.640382273211214326e-01 2.260499322023354907e+00 3.000000000000000000e+00
