# Omega_m sigma_8 chi2 weight
2.206013133395905157e-01 8.578640938107184866e-01 1.363041483165750023e+00 1.000000000000000000e+00
2.169622312375203976e-01 8.596013236795846391e-01 1.408550857231608333e+00 1.000000000000000000e+00
2.293803583773038057e-01 8.598447145543967052e-01 2.167764549959112941e+00 1.000000000000000000e+00
2.305180687096447800e-01 8.640062410075395327e-01 2.433925484115323279e+00 1.000000000000000000e+00
2.307902895286789990e-01 8.671215129525720045e-01 2.612485490499537821e+00 1.000000000000000000e+00
2.220180148306767354e-01 8.607705258406856963e-01 1.581499918034049657e+00 1.000000000000000000e+00
2.178930803211666101e-01 8.623475508074412987e-01 1.628555856985554051e+00 2.000000000000000000e+00
2.307085932313346632e-01 8.555344053428030060e-01 2.305129873487036463e+00 5.000000000000000000e+00
2.213434293817928833e-01 8.731243371141285126e-01 2.746568507928829117e+00 2.000000000000000000e+00
2.311275869355491064e-01 8.507178206981608204e-01 2.447951436468693398e+00 1.000000000000000000e+00
2.259096137668876736e-01 8.664209953956391042e-01 2.163849403964241080e+00 1.000000000000000000e+00
2.349192248070874345e-01 8.502688104366624700e-01 3.165965799422097326e+00 2.000000000000000000e+00
2.317199374705904424e-01 8.469959490603526930e-01 2.701280605371314092e+00 2.000000000000000000e+00
2.301712675378524142e-01 8.533779155527597693e-01 2.241412634724868180e+00 1.000000000000000000e+00
2.337458903686168155e-01 8.527946438091035253e-01 2.849548497016714421e+00 1.000000000000000000e+00
2.277061147571497468e-01 8.683413258041758898e-01 2.420745649632174867e+00 2.000000000000000000e+00
2.375983618378447737e-01 8.579070140960454172e-01 3.455887326958463568e+00 1.000000000000000000e+00
2.232172607613000792e-01 8.606620693249161791e-01 1.636658138329804002e+00 1.000000000000000000e+00
2.329260782069140223e-01 8.654388152014752533e-01 2.777671596976813984e+00 1.000000000000000000e+00
2.361738123530329747e-01 8.618182828567890752e-01 3.181406351171466529e+00 1.000000000000000000e+00
2.411772807946042929e-01 8.578196302930394257e-01 4.194152590620123355e+00 1.000000000000000000e+00
2.444290457068713507e-01 8.511919018051126162e-01 5.279524882317205403e+00 3.000000000000000000e+00
2.412623880499494000e-01 8.651462433372945071e-01 4.136558750615353830e+00 1.000000000000000000e+00
2.409874934141024161e-01 8.639424788788916398e-01 4.076954834595658106e+00 1.000000000000000000e+00
2.385505870512416304e-01 8.538488958106946747e-01 3.765830230419064506e+00 1.000000000000000000e+00
2.259179339412641097e-01 8.718751676768228265e-01 2.637524427232218471e+00 3.000000000000000000e+00
2.264913888593328983e-01 8.677448302285180048e-01 2.296663436069334541e+00 1.000000000000000000e+00
2.306053801429516492e-01 8.659868989397699890e-01 2.533111266585110322e+00 3.000000000000000000e+00
2.248463150754163864e-01 8.684222054299689519e-01 2.271200214742836287e+00 1.000000000000000000e+00
2.271765818047485896e-01 8.708566075375581139e-01 2.596788901400508998e+00 1.000000000000000000e+00
2.246680951267636672e-01 8.694337528297666484e-01 2.356800090423845973e+00 3.000000000000000000e+00
2.292972072037157971e-01 8.608265252895294095e-01 2.183447095665631110e+00 1.000000000000000000e+00
2.209417264167584383e-01 8.647929620682557328e-01 1.844919072630164747e+00 1.000000000000000000e+00
2.076851667237981647e-01 8.691656958482830708e-01 3.612578424810837241e+00 1.000000000000000000e+00
2.075102930474302942e-01 8.687351222038163234e-01 3.562626830095674713e+00 1.000000000000000000e+00
2.079249590535159342e-01 8.747724061862598433e-01 4.703434160437760525e+00 1.000000000000000000e+00
2.037851254044048543e-01 8.608781631780000332e-01 2.966737737706575562e+00 2.000000000000000000e+00
2.245079068174424264e-01 8.437237870811490348e-01 1.650600933026325157e+00 1.000000000000000000e+00
2.237686601203980330e-01 8.555966210610002065e-01 1.482157156639094753e+00 1.000000000000000000e+00
2.252926803369857123e-01 8.529211557738852756e-01 1.594288338541942407e+00 1.000000000000000000e+00
2.298537480729194171e-01 8.379776054081857772e-01 2.947970146323847018e+00 1.000000000000000000e+00
2.247070434683598461e-01 8.409749945090939649e-01 1.805722393322422903e+00 1.000000000000000000e+00
2.154829387063250945e-01 8.411284457853406282e-01 7.600559941929481145e-01 1.000000000000000000e+00
2.117183240440649872e-01 8.399472692000254925e-01 5.880738207448547028e-01 1.000000000000000000e+00
2.138276922630502619e-01 8.312624149393196271e-01 9.544879371818023595e-01 1.000000000000000000e+00
2.044432307904113510e-01 8.359228498129998020e-01 6.072531683884853093e-01 1.000000000000000000e+00
1.897051471628154184e-01 8.431167558808272400e-01 4.157903627171328331e+00 1.000000000000000000e+00
1.983111483582847279e-01 8.450239128218925977e-01 1.947257296039321517e+00 1.000000000000000000e+00
1.947743550209896923e-01 8.458613934333674145e-01 2.918099133141716095e+00 1.000000000000000000e+00
2.046064990442886811e-01 8.283344995509059894e-01 6.138660904621994208e-01 3.000000000000000000e+00
1.982571265002521788e-01 8.276667290888880535e-01 8.916513562142550642e-01 1.000000000000000000e+00
2.040011867359812492e-01 8.235102210519835708e-01 7.635685142397621306e-01 1.000000000000000000e+00
2.063901840985135072e-01 8.235889274662103743e-01 8.410357047798781016e-01 3.000000000000000000e+00
2.021775459037250255e-01 8.313528990459686518e-01 6.531581896922670216e-01 1.000000000000000000e+00
1.997459502156502531e-01 8.392884643573894632e-01 1.187036948982088669e+00 2.000000000000000000e+00
2.048836904038448536e-01 8.389813499012583886e-01 6.650929876007521946e-01 3.000000000000000000e+00
2.032758516547893135e-01 8.498878462365740960e-01 1.580996686989171840e+00 2.000000000000000000e+00
2.093636957931441778e-01 8.488097776453422671e-01 8.850352461393723447e-01 1.000000000000000000e+00
2.117423160700022400e-01 8.449141931585566478e-01 6.568606326162095277e-01 1.000000000000000000e+00
2.143745612447054694e-01 8.377416533656281139e-01 7.457601014288676167e-01 1.000000000000000000e+00
2.090804799064297781e-01 8.500291052460218211e-01 9.806724557462177527e-01 1.000000000000000000e+00
2.008029532612355950e-01 8.631922386583208429e-01 4.144793423616344619e+00 2.000000000000000000e+00
2.069502448545422757e-01 8.622359255510561038e-01 2.568760559949812450e+00 1.000000000000000000e+00
2.223151733918071471e-01 8.344996300123855848e-01 1.842031814624730535e+00 1.000000000000000000e+00
2.154373778383243954e-01 8.371218165017197954e-01 8.453301830912427484e-01 1.000000000000000000e+00
2.229669798309197315e-01 8.340580290845802658e-01 1.983287546433530446e+00 1.000000000000000000e+00
2.188069424403526197e-01 8.358850714183900799e-01 1.251534541812959311e+00 1.000000000000000000e+00
2.176426078559696997e-01 8.428723462823274337e-01 8.973092604002880224e-01 1.000000000000000000e+00
2.190503656242955566e-01 8.419231756258824806e-01 1.041831755860594289e+00 1.000000000000000000e+00
2.258484162590576327e-01 8.464629821280911237e-01 1.748566821620527900e+00 2.000000000000000000e+00
2.107174117209468234e-01 8.588423847443091841e-01 1.642897532842797714e+00 2.000000000000000000e+00
2.189301073080503202e-01 8.513482332618045323e-01 1.031210199290413243e+00 1.000000000000000000e+00
2.108136604894008947e-01 8.488715397509219995e-01 8.284355790433481914e-01 1.000000000000000000e+00
2.055824548458732304e-01 8.605134970368870651e-01 2.550006420929493256e+00 2.000000000000000000e+00
2.113427718033583091e-01 8.635811459833006021e-01 2.153103194872609372e+00 1.000000000000000000e+00
2.094485009677506115e-01 8.690289302499506485e-01 3.256367870797083786e+00 4.000000000000000000e+00
2.201679971488785525e-01 8.656987174681141095e-01 1.922896601710187614e+00 1.000000000000000000e+00
2.177078245306080240e-01 8.775407608369547585e-01 3.637165935473808176e+00 1.000000000000000000e+00
2.189032853480487040e-01 8.843553132568671149e-01 4.813805502273015513e+00 2.000000000000000000e+00
2.261806389234697068e-01 8.814303232454736570e-01 3.858344524954067545e+00 1.000000000000000000e+00
2.242818619440244965e-01 8.784827446583410859e-01 3.438269884676792287e+00 1.000000000000000000e+00
2.159192994643565067e-01 8.853539197448536680e-01 5.471646339063045872e+00 1.000000000000000000e+00
2.138930181264966646e-01 8.803436490587726038e-01 4.698219361295511654e+00 4.000000000000000000e+00
2.095321367786408817e-01 8.911598565255255400e-01 8.592563939037203724e+00 1.000000000000000000e+00
2.250732237815309122e-01 8.869922091194906155e-01 4.830657549810079665e+00 1.000000000000000000e+00
2.437438764750336495e-01 8.664871176013100307e-01 4.641112203533164227e+00 1.000000000000000000e+00
2.375981893682969914e-01 8.602043857400780702e-01 3.431039654848801135e+00 2.000000000000000000e+00
2.389984032840487826e-01 8.470603258508867528e-01 4.242250520379779566e+00 2.000000000000000000e+00
2.314597409482493373e-01 8.549509360442713035e-01 2.424065695618920824e+00 1.000000000000000000e+00
2.274996016991220615e-01 8.542528750594738929e-01 1.862880563286377633e+00 1.000000000000000000e+00
2.201936529201737325e-01 8.803275683195339596e-01 3.912780606342313394e+00 1.000000000000000000e+00
2.151533490791286696e-01 8.802167443572780359e-01 4.469415016033400967e+00 1.000000000000000000e+00
2.155404043248350388e-01 8.735539154536285933e-01 3.178042693529203433e+00 1.000000000000000000e+00
2.307328017056471392e-01 8.660812216398386942e-01 2.551519348307944135e+00 1.000000000000000000e+00
2.339273667614253649e-01 8.748069285425646990e-01 3.458443635056634768e+00 1.000000000000000000e+00
2.396013445219737081e-01 8.763562988850334134e-01 4.286927626407861958e+00 2.000000000000000000e+00
2.423355931183674150e-01 8.714011047365304297e-01 4.471615137197306744e+00 2.000000000000000000e+00
2.468568134138078296e-01 8.605749109352330839e-01 5.410258464363706388e+00 1.000000000000000000e+00
2.428626207314284191e-01 8.535630125940653068e-01 4.750158164292630936e+00 2.000000000000000000e+00
2.418127191887159966e-01 8.500851919267943257e-01 4.706174222036345611e+00 1.000000000000000000e+00
2.367386340884487794e-01 8.608140537353763388e-01 3.280709228043916958e+00 1.000000000000000000e+00
2.350835099547105567e-01 8.595077087667774007e-01 2.988540697942180469e+00 1.000000000000000000e+00
2.300787671609395568e-01 8.717449092375190167e-01 2.865870753839318663e+00 1.000000000000000000e+00
2.304089961315663182e-01 8.731163208084663507e-01 3.008732927299491600e+00 1.000000000000000000e+00
2.284021382701037217e-01 8.640075997440581634e-01 2.211093133189419468e+00 1.000000000000000000e+00
2.343682113128229549e-01 8.722044512808249106e-01 3.311074826212396793e+00 2.000000000000000000e+00
2.250893411066707817e-01 8.778865638148278805e-01 3.346615486379703075e+00 1.000000000000000000e+00
2.168411942709334295e-01 8.795478725713734569e-01 4.099377218746623974e+00 1.000000000000000000e+00
2.196718305158396334e-01 8.817902297331347006e-01 4.224385171318528975e+00 2.000000000000000000e+00
2.234776661248559226e-01 8.749622697984166253e-01 2.961220100443337166e+00 1.000000000000000000e+00
2.325416437151950899e-01 8.661846847840347641e-01 2.759264299777531626e+00 1.000000000000000000e+00
2.295192464357886375e-01 8.825969165821037077e-01 4.062099186599319900e+00 1.000000000000000000e+00
2.399040821843826388e-01 8.722011550778758782e-01 4.089194631201338304e+00 1.000000000000000000e+00
2.338566250876309704e-01 8.732910406262833769e-01 3.331292798678479716e+00 1.000000000000000000e+00
2.466144199036704732e-01 8.656547747845368956e-01 5.259267113315410747e+00 2.000000000000000000e+00
2.419629447536577327e-01 8.555085872227893296e-01 4.448482923005840028e+00 1.000000000000000000e+00
2.445161364489616684e-01 8.468767721145733507e-01 5.642120975673271310e+00 1.000000000000000000e+00
2.420543629734789592e-01 8.541283910566905835e-01 4.530830615992334387e+00 2.000000000000000000e+00
2.459192324856710465e-01 8.596030898915897334e-01 5.216857417419108245e+00 1.000000000000000000e+00
2.360695432227341850e-01 8.694189041929242245e-01 3.371146852886317546e+00 1.000000000000000000e+00
2.259273639385643295e-01 8.717760643127693276e-01 2.628935618796573781e+00 1.000000000000000000e+00
2.266337199471618602e-01 8.653610481389700793e-01 2.138880757607639183e+00 1.000000000000000000e+00
2.333471254024057639e-01 8.645354049996417656e-01 2.802305339722475974e+00 1.000000000000000000e+00
2.285304730390229910e-01 8.675687293703047143e-01 2.429499050712809360e+00 1.000000000000000000e+00
2.382574665708676320e-01 8.554476013274623369e-01 3.644564464113705604e+00 3.000000000000000000e+00
2.388028061540552194e-01 8.436280428366262907e-01 4.473902591998581535e+00 2.000000000000000000e+00
2.398543143404569811e-01 8.534792498746227585e-01 4.058807356469984029e+00 1.000000000000000000e+00
2.450439690084882938e-01 8.406674536443375922e-01 6.430139031895733659e+00 1.000000000000000000e+00
2.446390714383114839e-01 8.453227293886057536e-01 5.818821551481321741e+00 1.000000000000000000e+00
2.421809056248878655e-01 8.388360157108613047e-01 5.848585200313906718e+00 1.000000000000000000e+00
2.365981539668206846e-01 8.343081166986471287e-01 4.909733631800055065e+00 1.000000000000000000e+00
2.351776177577133697e-01 8.342243268758229302e-01 4.557805606143076282e+00 1.000000000000000000e+00
2.371861522873535133e-01 8.402621002499379710e-01 4.392004362519779548e+00 1.000000000000000000e+00
2.390252865216987432e-01 8.351141849705672193e-01 5.449168319874111432e+00 1.000000000000000000e+00
2.444728085754644120e-01 8.290491722925119600e-01 7.924024130374066388e+00 2.000000000000000000e+00
2.486692300536268718e-01 8.368389327794790722e-01 8.002710951648978721e+00 1.000000000000000000e+00
2.486815980698336703e-01 8.425058500934735628e-01 7.261751621515350585e+00 1.000000000000000000e+00
2.451882471808451425e-01 8.430131852033627693e-01 6.205214456913885179e+00 1.000000000000000000e+00
2.334455721285753071e-01 8.583817444249866035e-01 2.718986681493175794e+00 1.000000000000000000e+00
2.291542356588232299e-01 8.680523579912359233e-01 2.513058606843303178e+00 1.000000000000000000e+00
2.221341486537890819e-01 8.736387889394550132e-01 2.796926108068209071e+00 1.000000000000000000e+00
2.250720194934381913e-01 8.576159025777068123e-01 1.651593895260686562e+00 1.000000000000000000e+00
2.282872618304900292e-01 8.607184356799796321e-01 2.066197808664153701e+00 1.000000000000000000e+00
2.390279461606120703e-01 8.592038173238707444e-01 3.714417267340128781e+00 1.000000000000000000e+00
2.392799194452388534e-01 8.547375946725475071e-01 3.887018748174260185e+00 2.000000000000000000e+00
2.392617552944424075e-01 8.611657673752493025e-01 3.746021892137058718e+00 1.000000000000000000e+00
2.326377777230789756e-01 8.774044364908015758e-01 3.591133315464186015e+00 1.000000000000000000e+00
2.353957320018783272e-01 8.776863292164073238e-01 3.861688495525767983e+00 1.000000000000000000e+00
2.341211999858615056e-01 8.801084749179920452e-01 3.987886065869783891e+00 1.000000000000000000e+00
2.209114371831918111e-01 8.806447814621195525e-01 3.915857366817905305e+00 2.000000000000000000e+00
2.298536222619929348e-01 8.805586221205159436e-01 3.792636117312858435e+00 2.000000000000000000e+00
2.269637911684127263e-01 8.704198437510353159e-01 2.545192384101051974e+00 1.000000000000000000e+00
